DATE,VALUE
1957-01-02,46.20
1957-01-03,46.60
1957-01-04,46.66
1957-01-07,46.42
1957-01-08,46.25
1957-01-09,46.16
1957-01-10,46.27
1957-01-11,46.18
1957-01-14,45.86
1957-01-15,45.18
1957-01-16,45.23
1957-01-17,45.22
1957-01-18,44.64
1957-01-21,44.40
1957-01-22,44.53
1957-01-23,44.87
1957-01-24,45.03
1957-01-25,44.82
1957-01-28,44.49
1957-01-29,44.71
1957-01-30,44.91
1957-01-31,44.72
1957-02-01,44.62
1957-02-04,44.53
1957-02-05,43.89
1957-02-06,43.82
1957-02-07,43.62
1957-02-08,43.32
1957-02-11,42.57
1957-02-12,42.39
1957-02-13,43.04
1957-02-14,42.99
1957-02-15,43.51
1957-02-18,43.46
1957-02-19,43.49
1957-02-20,43.63
1957-02-21,43.48
1957-02-25,43.38
1957-02-26,43.45
1957-02-27,43.41
1957-02-28,43.26
1957-03-01,43.74
1957-03-04,44.06
1957-03-05,44.22
1957-03-06,44.33
1957-03-07,44.21
1957-03-08,44.07
1957-03-11,43.78
1957-03-12,43.75
1957-03-13,44.04
1957-03-14,44.07
1957-03-15,44.05
1957-03-18,43.85
1957-03-19,44.04
1957-03-20,44.10
1957-03-21,44.11
1957-03-22,44.06
1957-03-25,43.88
1957-03-26,43.91
1957-03-27,44.09
1957-03-28,44.18
1957-03-29,44.11
1957-04-01,44.14
1957-04-02,44.42
1957-04-03,44.54
1957-04-04,44.44
1957-04-05,44.49
1957-04-08,44.39
1957-04-09,44.79
1957-04-10,44.98
1957-04-11,44.94
1957-04-12,45.04
1957-04-15,44.95
1957-04-16,45.02
1957-04-17,45.08
1957-04-18,45.41
