DATE,VALUE
1/1/53,46.2
1/2/53,46.6
1/3/53,46.66
1/6/53,46.42
1/7/53,46.25
1/8/53,46.16
1/9/53,46.27
1/10/53,46.18
1/13/53,45.86
1/14/53,45.18
1/15/53,45.23
1/16/53,45.22
1/17/53,44.64
1/20/53,44.4
1/21/53,44.53
1/22/53,44.87
1/23/53,45.03
1/24/53,44.82
1/27/53,44.49
1/28/53,44.71
1/29/53,44.91
1/30/53,44.72
1/31/53,44.62
2/3/53,44.53
2/4/53,43.89
2/5/53,43.82
2/6/53,43.62
2/7/53,43.32
2/10/53,42.57
2/11/53,42.39
2/12/53,43.04
2/13/53,42.99
2/14/53,43.51
2/17/53,43.46
2/18/53,43.49
2/19/53,43.63
2/20/53,43.48
2/21/53,.
2/24/53,43.38
2/25/53,43.45
2/26/53,43.41
2/27/53,43.26
2/28/53,43.74
3/3/53,44.06
3/4/53,44.22
3/5/53,44.33
3/6/53,44.21
3/7/53,44.07
3/10/53,43.78
3/11/53,43.75
3/12/53,44.04
3/13/53,44.07
3/14/53,44.05
3/17/53,43.85
3/18/53,44.04
3/19/53,44.1
3/20/53,44.11
3/21/53,44.06
3/24/53,43.88
3/25/53,43.91
3/26/53,44.09
3/27/53,44.18
3/28/53,44.11
3/31/53,44.14
4/1/53,44.42
4/2/53,44.54
4/3/53,44.44
4/4/53,44.49
4/7/53,44.39
4/8/53,44.79
4/9/53,44.98
4/10/53,44.94
4/11/53,45.04
4/14/53,44.95
4/15/53,45.02
4/16/53,45.08
4/17/53,45.41
4/18/53,.
4/21/53,45.48
4/22/53,45.65
4/23/53,45.72
4/24/53,45.56
4/25/53,45.5
4/28/53,45.73
4/29/53,45.74
4/30/53,46.02
5/1/53,46.39
5/2/53,46.34
5/5/53,46.27
5/6/53,46.13
5/7/53,46.31
5/8/53,46.36
5/9/53,46.59
5/12/53,46.88
5/13/53,46.67
5/14/53,46.83
5/15/53,47.02
5/16/53,47.15
5/19/53,47.27
5/20/53,47.33
5/21/53,47.14
5/22/53,47.15
5/23/53,47.21
5/26/53,46.78
5/27/53,46.69
5/28/53,47.11
5/29/53,.
5/30/53,47.43
6/2/53,47.37
6/3/53,47.28
6/4/53,47.27
6/5/53,47.6
6/6/53,47.65
6/9/53,47.4
6/10/53,47.94
6/11/53,48.05
6/12/53,48.14
6/13/53,48.15
6/16/53,48.24
6/17/53,48.04
6/18/53,47.72
6/19/53,47.43
6/20/53,47.15
6/23/53,46.78
6/24/53,47.15
6/25/53,47.09
6/26/53,47.26
6/27/53,47.37
6/30/53,47.43
7/1/53,47.9
7/2/53,48.46
7/3/53,.
7/4/53,48.69
7/7/53,48.9
7/8/53,48.72
7/9/53,49.05
7/10/53,48.86
7/11/53,49.08
7/14/53,49.13
7/15/53,48.88
7/16/53,48.58
7/17/53,48.53
7/18/53,48.58
7/21/53,48.47
7/22/53,48.56
7/23/53,48.61
7/24/53,48.61
